Form,Lemma,UPosTag,XPosTag,feature,Head,DepRel,Deps,Misc,Original_POS
Kambamba,_,NOUN,_,_,_,_,_,_,sust. pal.
Kambanbalí,_,ADJ,_,_,_,_,_,Traducción: de perro en cuento narrado_,adj. pal.
Kambembe,_,NOUN,_,Gender=Fem,_,_,_,_,sust. f
Kambinbero,_,ADJ,_,_,_,_,_,Traducción: activa que le gusta hacer varios oficios al mismo_,ag). pal.
Kamisola,_,NOUN,_,Gender=Fem,_,_,_,Traducción: de_,sust. f
Kamora,_,VERB,_,_,_,_,_,Traducción: Molestar con el mismo tema_Etilomogía: Bantú,v
Kanalete,_,NOUN,_,_,_,_,_,_,sust. btú.
Kanatulé,_,NOUN,_,Gender=Fem,_,_,_,Traducción: Hambre_,sust. f
Kandilero,_,NOUN,_,Gender=Fem,_,_,_,Traducción: Clavícula_,sust. f.
Kanía,_,NOUN,_,Gender=Fem,_,_,_,Traducción: Camilla_,sust. f.
Kanklón,_,ADJ,_,_,_,_,_,_,adj. pal.
Kañaña,_,NOUN,_,_,_,_,_,Traducción: en_,sust. pal.
Kañoka,_,NOUN,_,Gender=Fem,_,_,_,Traducción: Culebra mapaná pequeña_,sust. f.
Kaposanto,_,NOUN,_,Gender=Masc,_,_,_,_Etilomogía: Kimbundu,susíf. m.
Kapuchí,_,NOUN,_,_,_,_,_,_,sust. k1b.
Kapuchichimanga,_,ADJ,_,_,_,_,_,_,ad).
Karimba,_,NOUN,_,_,_,_,_,Traducción: Marca por el hierro candente con que los amos o propietarios_,sust.
Konkorá,_,NOUN,_,_,_,_,_,Traducción: Pastel de cerdo y pollo_,sust. v.
Korío,_,NOUN,_,_,_,_,_,Traducción: de_,sust. pal.
Koró,_,NOUN,_,_,_,_,_,Traducción: Corozo_,sust.
Kotía,_,NOUN,_,_,_,_,_,_,sust. pal.
Koya,_,ADJ,_,_,_,_,_,Traducción: mala_,adj. pal.
Koyá,_,NOUN,_,_,_,_,_,Traducción: Collar perlas_,sust.
Kribí,_,VERB,_,_,_,_,_,Traducción: Escribir_,y
Krúo,_,ADJ,_,_,_,_,_,Traducción: Crudo_,adj.
Kuagriya,_,ADJ,_,_,_,_,_,Traducción: de la misma edad_,adj. pal.
Kuandi,_,ADV,_,_,_,_,_,_Etilomogía: Bantú,adv. pal.
Kuasikuasi,_,NOUN,_,_,_,_,_,_,"sust, btú."
Kuatrojo,_,NOUN,_,_,_,_,_,_,sust. pal.
Kuchá,_,VERB,_,_,_,_,_,_,y pal.
Kuenda,_,VERB,_,_,_,_,_,_,y pal.
Kujé,_,VERB,_,_,_,_,_,Traducción: tomar_,y. pal.
Kujelo,_,VERB,_,_,_,_,_,_,y pal.
Kula,_,NOUN,_,_,_,_,_,_,sust. pal.
Kulé,_,VERB,_,_,_,_,_,_,y. pal.
Kumbilé,_,VERB,_,_,_,_,_,_,y. kik.
Kumé,_,VERB,_,_,_,_,_,_Etilomogía: Bantú,y pal.
Kumkumbamaná,_,NOUN,_,_,_,_,_,_,sust. btú.
Kumo jué,_,exp comp,_,_,_,_,_,_,exp. pal.
Kumo,_,ADV,_,_,_,_,_,_,adv. pal.
Lombo,_,NOUN,_,_,_,_,_,Traducción: negro_,sust. pal.
Lompé,_,VERB,_,_,_,_,_,Traducción: un_Etilomogía: Bantú,y. pal.
Longulá,_,NOUN,_,_,_,_,_,_,sust. btú.
Losa,_,NOUN,_,_,_,_,_,Traducción: lugar_,sust. pal.
Losario,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,sust. pal.
Luchingá,_,ADJ,_,_,_,_,_,_Etilomogía: Kikongo,adj. kik.
Lumba,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,sust. kik.
Lumbilá,_,ADJ,_,_,_,_,_,Traducción: lena_Etilomogía: Karibali,adj. kik.
Lungá,_,VERB,_,_,_,_,_,Traducción: Morir_Etilomogía: Kikongo,y. v.
Lusinga,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,sust. kik.
Lutete,_,NOUN,_,_,_,_,_,Traducción: grande encerrado en el cuerpo de_Etilomogía: Kikongo,sust. kik.
Lutre,_,ADJ,_,_,_,_,_,Traducción: un_,adj. kik.
Matimbá,_,NOUN,_,_,_,_,_,Traducción: Planta que se utiliza para la_,sust.
Ma uto,_,exp comp,_,_,_,_,_,Traducción: otros_Etilomogía: Bantú,expr. pal.
Mbino,_,NOUN,_,_,_,_,_,_,sust. btú.
Mblaso,_,NOUN,_,_,_,_,_,_,susf. pal.
Mbola,_,NOUN,_,_,_,_,_,"Traducción: pelota, testículo_",sust. pal.
Mboyo,_,NOUN,_,_,_,_,_,_,susf. pal.
Mejorá,_,VERB,_,_,_,_,_,Traducción: Mejorar persona de su estado de salud_,v.
Mendá,_,VERB,_,_,_,_,_,Traducción: el_,y. pal.
Meté,_,VERB,_,_,_,_,_,Traducción: Meter_Etilomogía: Bantú,v.
Miangoma,_,NOUN,_,_,_,_,_,Traducción: de un cerro que limita_,susf. btú.
Mija,_,NOUN,_,_,_,_,_,Traducción: Hija_,sust.
Mika-Jurunpochonía,_,NOUN,_,_,_,_,_,_,sust.
Mikambó,_,NOUN,_,_,_,_,_,_,sust. pal.
Miná,_,VERB,_,_,_,_,_,_,y. pal.
Mini,_,VERB,_,_,_,_,_,_,y. pal.
Mochoroko,_,ADJ,_,_,_,_,_,_,adj. pal.
Musungue,_,VERB,_,_,_,_,_,Traducción: Azotar a_,_
Ngandilá,_,VERB,_,_,_,_,_,Traducción: delante de una persona_Etilomogía: Kimbundu,adj. dem.
Nganga,_,ADJ,_,_,_,_,_,"Traducción: supremo de la hechicería, diablo_",adj. kib.
Ngañote,_,NOUN,_,_,_,_,_,_,sust. pal.
Ngato,_,NOUN,_,_,_,_,_,Traducción: Gato_,sust
Nglorifiká,_,VERB,_,_,_,_,_,Traducción: Glorificar_,y
Ngolo,_,ADJ,_,Gender=Masc,_,_,_,_,adj. pal.
Ngongoch,_,NOUN,_,_,_,_,_,Traducción: Especie de gusano_,_
Ngombechamonika,_,NOUN,_,_,_,_,_,_,sust.
Ngonbé,_,VERB,_,_,_,_,_,_Etilomogía: Kimbundu,y. kik.
Neongoló,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,susr. kib.
Ngope,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,sust. kik.
Ngota,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,sust. kik.
Ngotika,_,NOUN,_,_,_,_,_,_Etilomogía: Kikongo,susf. kik.
Ngozá,_,VERB,_,_,_,_,_,_,y kik.
